start_of_interval,end_of_interval,species,confidence
0, 3, Engine_Engine, 0.03430608
0, 3, Human vocal_Human vocal, 0.03106114
0, 3, Cygnus buccinator_Trumpeter Swan, 0.026661241
0, 3, Cygnus columbianus_Tundra Swan, 0.0058390778
0, 3, Phylloscopus tenellipes_Pale-legged Leaf Warbler, 0.0056413896
3, 6, Corvus brachyrhynchos_American Crow, 0.052197255
3, 6, Dryobates nuttallii_Nuttall's Woodpecker, 0.013897151
3, 6, Melanerpes carolinus_Red-bellied Woodpecker, 0.012119485
3, 6, Human vocal_Human vocal, 0.007946824
3, 6, Accipiter cooperii_Cooper's Hawk, 0.0073533477
6, 9, Human vocal_Human vocal, 0.033455964
6, 9, Engine_Engine, 0.013169868
6, 9, Dog_Dog, 0.009940618
6, 9, Accipiter striatus_Sharp-shinned Hawk, 0.00524262
6, 9, Human non-vocal_Human non-vocal, 0.005078413
9, 12, Human vocal_Human vocal, 0.11939816
9, 12, Schoeniparus brunneus_Dusky Fulvetta, 0.0148722045
9, 12, Horornis fortipes_Brownish-flanked Bush Warbler, 0.014255248
9, 12, Apus caffer_White-rumped Swift, 0.013682532
9, 12, Pycnonotus sinensis_Light-vented Bulbul, 0.0112701645
12, 15, Human vocal_Human vocal, 0.29458916
12, 15, Engine_Engine, 0.09572107
12, 15, Power tools_Power tools, 0.052274697
12, 15, Human whistle_Human whistle, 0.025097638
12, 15, Gun_Gun, 0.019199524
15, 18, Human vocal_Human vocal, 0.025887439
15, 18, Acridotheres tristis_Common Myna, 0.017494274
15, 18, Spilornis cheela_Crested Serpent-Eagle, 0.008387545
15, 18, Psittacula krameri_Rose-ringed Parakeet, 0.0061911796
15, 18, Corvus splendens_House Crow, 0.0055630594
18, 21, Coccothraustes vespertinus_Evening Grosbeak, 0.059015032
18, 21, Corvus brachyrhynchos_American Crow, 0.030164594
18, 21, Cecropis daurica_Red-rumped Swallow, 0.022328824
18, 21, Cyanopica cooki_Iberian Magpie, 0.01951725
18, 21, Apus caffer_White-rumped Swift, 0.019290708
21, 24, Psarocolius decumanus_Crested Oropendola, 0.037383515
21, 24, Larus michahellis_Yellow-legged Gull, 0.035098236
21, 24, Pica pica_Eurasian Magpie, 0.024672972
21, 24, Corvus monedula_Eurasian Jackdaw, 0.024232956
21, 24, Gnorimopsar chopi_Chopi Blackbird, 0.018176144
24, 27, Corythaixoides leucogaster_White-bellied Go-away-bird, 0.92303824
24, 27, Corvus mellori_Little Raven, 0.72965306
24, 27, Corvus orru_Torresian Crow, 0.62302613
24, 27, Anser indicus_Bar-headed Goose, 0.04911088
24, 27, Anas platyrhynchos_Mallard, 0.0231371
27, 30, Corythaixoides leucogaster_White-bellied Go-away-bird, 0.9196192
27, 30, Corvus mellori_Little Raven, 0.12790026
27, 30, Corvus orru_Torresian Crow, 0.040610407
27, 30, Corvus cornix_Hooded Crow, 0.00905597
27, 30, Corvus splendens_House Crow, 0.005422786
30, 33, Corythaixoides leucogaster_White-bellied Go-away-bird, 0.2798751
30, 33, Corvus mellori_Little Raven, 0.09259074
30, 33, Corvus splendens_House Crow, 0.05166073
30, 33, Corvus cornix_Hooded Crow, 0.039114505
30, 33, Human non-vocal_Human non-vocal, 0.03351335
33, 36, Trogon collaris_Collared Trogon, 0.024382858
33, 36, Procnias tricarunculatus_Three-wattled Bellbird, 0.019785335
33, 36, Grallaria ruficapilla_Chestnut-crowned Antpitta, 0.010799615
